"","species","point","v1","v2","v3","v4","Q","lat","lon","site","cluster","natural","pasture","elev_ALOS","Order","Family","Genus","sp_cl","forestDep_birdlife"
"1","Akletos_melanoceps","SGP8",0,0,0,0,0,2.452046,-72.758018,"SG","cluster_SGP_3",0,1,251,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_SGP_3","High"
"2","Akletos_melanoceps","SGP2",0,0,0,0,0,2.455455,-72.708626,"SG","cluster_SGP_1",0,1,286,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_SGP_1","High"
"3","Akletos_melanoceps","PLP18",0,0,0,0,0,-0.104268,-74.663881,"PL","cluster_PLP_6",0,1,176,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_6","High"
"4","Akletos_melanoceps","PLP7",0,0,0,0,0,-0.114824,-74.644941,"PL","cluster_PLP_3",0,1,176,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_3","High"
"5","Akletos_melanoceps","SGP12",0,0,0,0,0,2.512913,-72.831778,"SG","cluster_SGP_4",0,1,247,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_SGP_4","High"
"6","Akletos_melanoceps","SGP5",0,0,0,0,0,2.458684,-72.760927,"SG","cluster_SGP_2",0,1,243,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_SGP_2","High"
"7","Akletos_melanoceps","SGP10",0,0,0,0,0,2.515489,-72.83382,"SG","cluster_SGP_4",0,1,234,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_SGP_4","High"
"8","Akletos_melanoceps","SGP13",0,0,0,0,0,2.509502,-72.838586,"SG","cluster_SGP_5",0,1,230,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_SGP_5","High"
"9","Akletos_melanoceps","SGP15",0,0,0,0,0,2.508469,-72.842021,"SG","cluster_SGP_5",0,1,225,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_SGP_5","High"
"10","Akletos_melanoceps","PSP3",0,0,0,NA,0,-0.63821,-72.36242,"PS","cluster_PSP_2",0,1,107,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PSP_2","High"
"11","Akletos_melanoceps","PLP12",0,0,0,0,0,-0.106439,-74.636987,"PL","cluster_PLP_4",0,1,174,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_4","High"
"12","Akletos_melanoceps","SGP3",0,0,0,0,0,2.455774,-72.71041,"SG","cluster_SGP_1",0,1,283,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_SGP_1","High"
"13","Akletos_melanoceps","PLP1",1,0,0,0,1,-0.12944,-74.64502,"PL","cluster_PLP_1",0,1,177,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_1","High"
"14","Akletos_melanoceps","PLP4",0,0,0,0,0,-0.12022,-74.64526,"PL","cluster_PLP_2",0,1,166,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_2","High"
"15","Akletos_melanoceps","PLP11",0,0,0,0,0,-0.107999,-74.637978,"PL","cluster_PLP_4",0,1,173,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_4","High"
"16","Akletos_melanoceps","PLP21",0,0,0,0,0,-0.098746,-74.670431,"PL","cluster_PLP_7",0,1,190,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_7","High"
"17","Akletos_melanoceps","SGP7",0,0,0,0,0,2.452231,-72.756223,"SG","cluster_SGP_3",0,1,242,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_SGP_3","High"
"18","Akletos_melanoceps","PSP4",0,0,0,NA,0,-0.636463,-72.362891,"PS","cluster_PSP_2",0,1,105,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PSP_2","High"
"19","Akletos_melanoceps","PSP6",0,0,0,NA,0,-0.631403,-72.371501,"PS","cluster_PSP_3",0,1,102,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PSP_3","High"
"20","Akletos_melanoceps","PLP20",0,0,0,0,0,-0.098897,-74.668639,"PL","cluster_PLP_7",0,1,167,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_7","High"
"21","Akletos_melanoceps","PLP17",0,0,0,0,0,-0.105752,-74.662838,"PL","cluster_PLP_6",0,1,178,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_6","High"
"22","Akletos_melanoceps","PLP23",0,0,0,0,0,-0.093633,-74.673583,"PL","cluster_PLP_8",0,1,167,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_8","High"
"23","Akletos_melanoceps","SGP11",0,0,0,0,0,2.514711,-72.832183,"SG","cluster_SGP_4",0,1,236,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_SGP_4","High"
"24","Akletos_melanoceps","SGP1",0,0,0,0,0,2.455462,-72.706825,"SG","cluster_SGP_1",0,1,276,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_SGP_1","High"
"25","Akletos_melanoceps","PLP13",0,0,0,0,0,-0.111965,-74.656193,"PL","cluster_PLP_5",0,1,172,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_5","High"
"26","Akletos_melanoceps","PSP1",0,0,0,NA,0,-0.646103,-72.345283,"PS","cluster_PSP_1",0,1,119,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PSP_1","High"
"27","Akletos_melanoceps","PSP2",0,0,0,NA,0,-0.647789,-72.345891,"PS","cluster_PSP_1",0,1,137,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PSP_1","High"
"28","Akletos_melanoceps","PLP16",0,0,0,0,0,-0.106862,-74.664317,"PL","cluster_PLP_6",0,1,179,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_6","High"
"29","Akletos_melanoceps","PLP9",0,0,0,0,0,-0.111148,-74.644316,"PL","cluster_PLP_3",0,1,170,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_3","High"
"30","Akletos_melanoceps","PLP15",0,0,0,0,0,-0.110342,-74.660004,"PL","cluster_PLP_5",0,1,168,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_5","High"
"31","Akletos_melanoceps","PLP24",0,0,0,0,0,-0.091859,-74.673905,"PL","cluster_PLP_8",0,1,168,"PASSERIFORMES","Thamnophilidae","Akletos","Akletos_melanoceps__cluster_PLP_8","High"
